Index,Date,Quarter,Private Equity Returns,PE_Return,Cumulative,100,,
1991 Q2 ,1991-06-30,Q2,1.27,0.0127,137.46,137.46,1988-03-01,-0.89
1991 Q3 ,1991-09-30,Q3,2.3,0.023,139.76,139.76,1988-04-01,0.74
1991 Q4,1991-12-31,Q4,3.15,0.0315,142.91,142.91,1988-05-01,0.74
1992 Q1,1992-03-31,Q1,2.08,0.0208,144.99,144.99,1988-06-01,0.74
1992 Q2 ,1992-06-30,Q2,0.85,0.0085,145.84,145.84,1988-07-01,1.18
1992 Q3 ,1992-09-30,Q3,2.41,0.0241,148.25,148.25,1988-08-01,1.18
1992 Q4 ,1992-12-31,Q4,9.15,0.0915,157.4,157.4,1988-09-01,1.18
1993 Q1 ,1993-03-31,Q1,3.22,0.0322,160.62,160.62,1988-10-01,1.09
1993 Q2 ,1993-06-30,Q2,5.89,0.0589,166.51,166.51,1988-11-01,1.09
1993 Q3 ,1993-09-30,Q3,6.31,0.0631,172.82,172.82,1988-12-01,1.09
1993 Q4 ,1993-12-31,Q4,6.93,0.0693,179.75,179.75,1989-01-01,0.95
1994 Q1 ,1994-03-31,Q1,1.24,0.0124,180.99,180.99,1989-02-01,0.95
1994 Q2 ,1994-06-30,Q2,2.77,0.0277,183.76,183.76,1989-03-01,0.95
1994 Q3 ,1994-09-30,Q3,2,0.02,185.76,185.76,1989-04-01,
1994 Q4 ,1994-12-31,Q4,6.24,0.0624,192,192,1989-05-01,
1995 Q1 ,1995-03-31,Q1,3.86,0.0386,195.86,195.86,1989-06-01,
1995 Q2 ,1995-06-30,Q2,4.14,0.0414,200,200,1989-07-01,
1995 Q3 ,1995-09-30,Q3,4.3,0.043,204.3,204.3,1989-08-01,
1995 Q4 ,1995-12-31,Q4,10.13,0.1013,214.43,214.43,1989-09-01,
1996 Q1,1996-03-31,Q1,5.92,0.0592,220.35,220.35,1989-10-01,
1996 Q2 ,1996-06-30,Q2,6.42,0.0642,226.77,226.77,1989-11-01,
1996 Q3 ,1996-09-30,Q3,6.31,0.0631,233.08,233.08,1989-12-01,
1996 Q4 ,1996-12-31,Q4,6.96,0.0696,240.04,240.04,1990-01-01,
1997 Q1 ,1997-03-31,Q1,0.99,0.0099,241.03,241.03,1990-02-01,
1997 Q2 ,1997-06-30,Q2,10.88,0.1088,251.91,251.91,1990-03-01,
1997 Q3 ,1997-09-30,Q3,7.77,0.0777,259.68,259.68,1990-04-01,
1997 Q4 ,1997-12-31,Q4,8.16,0.0816,267.84,267.84,1990-05-01,
1998 Q1 ,1998-03-31,Q1,9.54,0.0954,277.38,277.38,1990-06-01,
1998 Q2 ,1998-06-30,Q2,5.09,0.0509,282.47,282.47,1990-07-01,
1998 Q3 ,1998-09-30,Q3,-6.58,-0.0658,275.89,275.89,1990-08-01,
1998 Q4 ,1998-12-31,Q4,7.34,0.0734,283.23,283.23,1990-09-01,
1999 Q1 ,1999-03-31,Q1,5.51,0.0551,288.74,288.74,1990-10-01,
1999 Q2 ,1999-06-30,Q2,10.03,0.1003,298.77,298.77,1990-11-01,
1999 Q3 ,1999-09-30,Q3,3.46,0.0346,302.23,302.23,1990-12-01,
1999 Q4 ,1999-12-31,Q4,17.73,0.1773,319.96,319.96,1991-01-01,
2000 Q1 ,2000-03-31,Q1,14.58,0.1458,334.54,334.54,1991-02-01,
2000 Q2 ,2000-06-30,Q2,-1.37,-0.0137,333.17,333.17,1991-03-01,
2000 Q3 ,2000-09-30,Q3,-0.09,-0.0009,333.08,333.08,1991-04-01,
2000 Q4 ,2000-12-31,Q4,-6.32,-0.0632,326.76,326.76,1991-05-01,
2001 Q1 ,2001-03-31,Q1,-6.02,-0.0602,320.74,320.74,1991-06-01,
2001 Q2 ,2001-06-30,Q2,3.26,0.0326,324,324,1991-07-01,
2001 Q3 ,2001-09-30,Q3,-9.02,-0.0902,314.98,314.98,1991-08-01,
2001 Q4 ,2001-12-31,Q4,0.07,0.0007,315.05,315.05,1991-09-01,
2002 Q1 ,2002-03-31,Q1,-0.45,-0.0045,314.6,314.6,1991-10-01,
2002 Q2 ,2002-06-30,Q2,-2.64,-0.0264,311.96,311.96,1991-11-01,
2002 Q3 ,2002-09-30,Q3,-4.92,-0.0492,307.04,307.04,1991-12-01,
2002 Q4 ,2002-12-31,Q4,0.18,0.0018,307.22,307.22,1992-01-01,
2003 Q1 ,2003-03-31,Q1,-0.3,-0.003,306.92,306.92,1992-02-01,
2003 Q2 ,2003-06-30,Q2,6.83,0.0683,313.75,313.75,1992-03-01,
2003 Q3 ,2003-09-30,Q3,5.41,0.0541,319.16,319.16,1992-04-01,
2003 Q4 ,2003-12-31,Q4,9.25,0.0925,328.41,328.41,1992-05-01,
2004 Q1 ,2004-03-31,Q1,2.79,0.0279,331.2,331.2,1992-06-01,
2004 Q2 ,2004-06-30,Q2,3.43,0.0343,334.63,334.63,1992-07-01,
2004 Q3 ,2004-09-30,Q3,2.23,0.0223,336.86,336.86,1992-08-01,
2004 Q4 ,2004-12-31,Q4,15.32,0.1532,352.18,352.18,1992-09-01,
2005 Q1 ,2005-03-31,Q1,1.61,0.0161,353.79,353.79,1992-10-01,
2005 Q2 ,2005-06-30,Q2,8.97,0.0897,362.76,362.76,1992-11-01,
2005 Q3 ,2005-09-30,Q3,7.63,0.0763,370.39,370.39,1992-12-01,
2005 Q4 ,2005-12-31,Q4,7.99,0.0799,378.38,378.38,1993-01-01,
2006 Q1 ,2006-03-31,Q1,5.4,0.054,383.78,383.78,1993-02-01,
2006 Q2 ,2006-06-30,Q2,4.07,0.0407,387.85,387.85,1993-03-01,
2006 Q3 ,2006-09-30,Q3,3.89,0.0389,391.74,391.74,1993-04-01,
2006 Q4 ,2006-12-31,Q4,12.66,0.1266,404.4,404.4,1993-05-01,
2007 Q1 ,2007-03-31,Q1,5.86,0.0586,410.26,410.26,1993-06-01,
2007 Q2 ,2007-06-30,Q2,7.6,0.076,417.86,417.86,1993-07-01,
2007 Q3 ,2007-09-30,Q3,1.08,0.0108,418.94,418.94,1993-08-01,
2007 Q4 ,2007-12-31,Q4,3.23,0.0323,422.17,422.17,1993-09-01,
2008 Q1 ,2008-03-31,Q1,-2.2,-0.022,419.97,419.97,1993-10-01,
2008 Q2 ,2008-06-30,Q2,0.93,0.0093,420.9,420.9,1993-11-01,
2008 Q3 ,2008-09-30,Q3,-6.64,-0.0664,414.26,414.26,1993-12-01,
2008 Q4,2008-12-31,Q4,-16.02,-0.1602,398.24,398.24,1994-01-01,
2009 Q1 ,2009-03-31,Q1,-3.29,-0.0329,394.95,394.95,1994-02-01,
2009 Q2 ,2009-06-30,Q2,4.53,0.0453,399.48,399.48,1994-03-01,
2009 Q3 ,2009-09-30,Q3,5.81,0.0581,405.29,405.29,1994-04-01,
2009 Q4 ,2009-12-31,Q4,6.03,0.0603,411.32,411.32,1994-05-01,
2010 Q1 ,2010-03-31,Q1,4.42,0.0442,415.74,415.74,1994-06-01,
2010 Q2 ,2010-06-30,Q2,1.62,0.0162,417.36,417.36,1994-07-01,
2010 Q3 ,2010-09-30,Q3,5.13,0.0513,422.49,422.49,1994-08-01,
2010 Q4 ,2010-12-31,Q4,9.13,0.0913,431.62,431.62,1994-09-01,
2011 Q1 ,2011-03-31,Q1,5.17,0.0517,436.79,436.79,1994-10-01,
2011 Q2 ,2011-06-30,Q2,4.65,0.0465,441.44,441.44,1994-11-01,
2011 Q3 ,2011-09-30,Q3,-4.16,-0.0416,437.28,437.28,1994-12-01,
2011 Q4 ,2011-12-31,Q4,5.34,0.0534,442.62,442.62,1995-01-01,
2012 Q1 ,2012-03-31,Q1,5.44,0.0544,448.06,448.06,1995-02-01,
2012 Q2 ,2012-06-30,Q2,-0.07,-0.0007,447.99,447.99,1995-03-01,
2012 Q3 ,2012-09-30,Q3,3.69,0.0369,451.68,451.68,1995-04-01,
2012 Q4 ,2012-12-31,Q4,3.76,0.0376,455.44,455.44,1995-05-01,
2013 Q1 ,2013-03-31,Q1,4.56,0.0456,460,460,1995-06-01,
2013 Q2 ,2013-06-30,Q2,3.08,0.0308,463.08,463.08,1995-07-01,
2013 Q3 ,2013-09-30,Q3,5.08,0.0508,468.16,468.16,1995-08-01,
2013 Q4 ,2013-12-31,Q4,6.91,0.0691,475.07,475.07,1995-09-01,
2014 Q1 ,2014-03-31,Q1,3.09,0.0309,478.16,478.16,1995-10-01,
2014 Q2 ,2014-06-30,Q2,5.39,0.0539,483.55,483.55,1995-11-01,
2014 Q3 ,2014-09-30,Q3,1.5,0.015,485.05,485.05,1995-12-01,
2014 Q4 ,2014-12-31,Q4,0.86,0.0086,485.91,485.91,1996-01-01,
2015 Q1 ,2015-03-31,Q1,2.62,0.0262,488.53,488.53,1996-02-01,
2015 Q2 ,2015-06-30,Q2,3.83,0.0383,492.36,492.36,1996-03-01,
2015 Q3 ,2015-09-30,Q3,-1.36,-0.0136,491,491,1996-04-01,
2015 Q4 ,2015-12-31,Q4,0.52,0.0052,491.52,491.52,1996-05-01,
2016 Q1 ,2016-03-31,Q1,0.03,0.0003,491.55,491.55,1996-06-01,
2016 Q2 ,2016-06-30,Q2,4,0.04,495.55,495.55,1996-07-01,
2016 Q3 ,2016-09-30,Q3,3.94,0.0394,499.49,499.49,1996-08-01,
2016 Q4 ,2016-12-31,Q4,4.61,0.0461,504.1,504.1,1996-09-01,
2017 Q1 ,2017-03-31,Q1,3.9,0.039,508,508,1996-10-01,
2017 Q2 ,2017-06-30,Q2,3.54,0.0354,511.54,511.54,1996-11-01,
2017 Q3 ,2017-09-30,Q3,3.97,0.0397,515.51,515.51,1996-12-01,
2017 Q4 ,2017-12-31,Q4,5.07,0.0507,520.58,520.58,1997-01-01,
2018 Q1 ,2018-03-31,Q1,2.71,0.0271,523.29,523.29,1997-02-01,
2018 Q2 ,2018-06-30,Q2,5.37,0.0537,528.66,528.66,1997-03-01,
2018 Q3 ,2018-09-30,Q3,3.84,0.0384,532.5,532.5,1997-04-01,
2018 Q4 ,2018-12-31,Q4,-1.95,-0.0195,530.55,530.55,1997-05-01,
2019 Q1 ,2019-03-31,Q1,4.89,0.0489,535.44,535.44,1997-06-01,
2019 Q2 ,2019-06-30,Q2,3.42,0.0342,538.86,538.86,1997-07-01,
2019 Q3 ,2019-09-30,Q3,1.31,0.0131,540.17,540.17,1997-08-01,
,,,,0,,,1997-09-01,
,,,,0,,,1997-10-01,
,,,,0,,,1997-11-01,
,,,,0,,,1997-12-01,
,,,,0,,,1998-01-01,
,,,,0,,,1998-02-01,
,,,,0,,,1998-03-01,
,,,,0,,,1998-04-01,
,,,,0,,,1998-05-01,
,,,,0,,,1998-06-01,
,,,,0,,,1998-07-01,
,,,,0,,,1998-08-01,
,,,,0,,,1998-09-01,
,,,,0,,,1998-10-01,
,,,,0,,,1998-11-01,
,,,,0,,,1998-12-01,
,,,,0,,,1999-01-01,
,,,,0,,,1999-02-01,
,,,,0,,,1999-03-01,
,,,,0,,,1999-04-01,
,,,,0,,,1999-05-01,
,,,,0,,,1999-06-01,
,,,,0,,,1999-07-01,
,,,,0,,,1999-08-01,
,,,,0,,,1999-09-01,
,,,,0,,,1999-10-01,
,,,,0,,,1999-11-01,
,,,,0,,,1999-12-01,
,,,,0,,,2000-01-01,
,,,,0,,,2000-02-01,
,,,,0,,,2000-03-01,
,,,,0,,,2000-04-01,
,,,,0,,,2000-05-01,
,,,,0,,,2000-06-01,
,,,,0,,,2000-07-01,
,,,,0,,,2000-08-01,
,,,,0,,,2000-09-01,
,,,,0,,,2000-10-01,
,,,,0,,,2000-11-01,
,,,,0,,,2000-12-01,
,,,,0,,,2001-01-01,
,,,,0,,,2001-02-01,
,,,,0,,,2001-03-01,
,,,,0,,,2001-04-01,
,,,,0,,,2001-05-01,
,,,,0,,,2001-06-01,
,,,,0,,,2001-07-01,
,,,,0,,,2001-08-01,
,,,,0,,,2001-09-01,
,,,,0,,,2001-10-01,
,,,,0,,,2001-11-01,
,,,,0,,,2001-12-01,
,,,,0,,,2002-01-01,
,,,,0,,,2002-02-01,
,,,,0,,,2002-03-01,
,,,,0,,,2002-04-01,
,,,,0,,,2002-05-01,
,,,,0,,,2002-06-01,
,,,,0,,,2002-07-01,
,,,,0,,,2002-08-01,
,,,,0,,,2002-09-01,
,,,,0,,,2002-10-01,
,,,,0,,,2002-11-01,
,,,,0,,,2002-12-01,
,,,,0,,,2003-01-01,
,,,,0,,,2003-02-01,
,,,,0,,,2003-03-01,
,,,,0,,,2003-04-01,
,,,,0,,,2003-05-01,
,,,,0,,,2003-06-01,
,,,,0,,,2003-07-01,
,,,,0,,,2003-08-01,
,,,,0,,,2003-09-01,
,,,,0,,,2003-10-01,
,,,,0,,,2003-11-01,
,,,,0,,,2003-12-01,
,,,,0,,,2004-01-01,
,,,,0,,,2004-02-01,
,,,,0,,,2004-03-01,
,,,,0,,,2004-04-01,
,,,,0,,,2004-05-01,
,,,,0,,,2004-06-01,
,,,,0,,,2004-07-01,
,,,,0,,,2004-08-01,
,,,,0,,,2004-09-01,
,,,,0,,,2004-10-01,
,,,,0,,,2004-11-01,
,,,,0,,,2004-12-01,
,,,,0,,,2005-01-01,
,,,,0,,,2005-02-01,
,,,,0,,,2005-03-01,
,,,,0,,,2005-04-01,
,,,,0,,,2005-05-01,
,,,,0,,,2005-06-01,
,,,,0,,,2005-07-01,
,,,,0,,,2005-08-01,
,,,,0,,,2005-09-01,
,,,,0,,,2005-10-01,
,,,,0,,,2005-11-01,
,,,,0,,,2005-12-01,
,,,,0,,,2006-01-01,
,,,,0,,,2006-02-01,
,,,,0,,,2006-03-01,
,,,,0,,,2006-04-01,
,,,,0,,,2006-05-01,
,,,,0,,,2006-06-01,
,,,,0,,,2006-07-01,
,,,,0,,,2006-08-01,
,,,,0,,,2006-09-01,
,,,,0,,,2006-10-01,
,,,,0,,,2006-11-01,
,,,,0,,,2006-12-01,
,,,,0,,,2007-01-01,
,,,,0,,,2007-02-01,
,,,,0,,,2007-03-01,
,,,,0,,,2007-04-01,
,,,,0,,,2007-05-01,
,,,,0,,,2007-06-01,
,,,,0,,,2007-07-01,
,,,,0,,,2007-08-01,
,,,,0,,,2007-09-01,
,,,,0,,,2007-10-01,
,,,,0,,,2007-11-01,
,,,,0,,,2007-12-01,
,,,,0,,,2008-01-01,
,,,,0,,,2008-02-01,
,,,,0,,,2008-03-01,
,,,,0,,,2008-04-01,
,,,,0,,,2008-05-01,
,,,,0,,,2008-06-01,
,,,,0,,,2008-07-01,
,,,,0,,,2008-08-01,
,,,,0,,,2008-09-01,
,,,,0,,,2008-10-01,
,,,,0,,,2008-11-01,
,,,,0,,,2008-12-01,
,,,,0,,,2009-01-01,
,,,,0,,,2009-02-01,
,,,,0,,,2009-03-01,
,,,,0,,,2009-04-01,
,,,,0,,,2009-05-01,
,,,,0,,,2009-06-01,
,,,,0,,,2009-07-01,
,,,,0,,,2009-08-01,
,,,,0,,,2009-09-01,
,,,,0,,,2009-10-01,
,,,,0,,,2009-11-01,
,,,,0,,,2009-12-01,
,,,,0,,,2010-01-01,
,,,,0,,,2010-02-01,
,,,,0,,,2010-03-01,
,,,,0,,,2010-04-01,
,,,,0,,,2010-05-01,
,,,,0,,,2010-06-01,
,,,,0,,,2010-07-01,
,,,,0,,,2010-08-01,
,,,,0,,,2010-09-01,
,,,,0,,,2010-10-01,
,,,,0,,,2010-11-01,
,,,,0,,,2010-12-01,
,,,,0,,,2011-01-01,
,,,,0,,,2011-02-01,
,,,,0,,,2011-03-01,
,,,,0,,,2011-04-01,
,,,,0,,,2011-05-01,
,,,,0,,,2011-06-01,
,,,,0,,,2011-07-01,
,,,,0,,,2011-08-01,
,,,,0,,,2011-09-01,
,,,,0,,,2011-10-01,
,,,,0,,,2011-11-01,
,,,,0,,,2011-12-01,
,,,,0,,,2012-01-01,
,,,,0,,,2012-02-01,
,,,,0,,,2012-03-01,
,,,,0,,,2012-04-01,
,,,,0,,,2012-05-01,
,,,,0,,,2012-06-01,
,,,,0,,,2012-07-01,
,,,,0,,,2012-08-01,
,,,,0,,,2012-09-01,
,,,,0,,,2012-10-01,
,,,,0,,,2012-11-01,
,,,,0,,,2012-12-01,
,,,,0,,,2013-01-01,
,,,,0,,,2013-02-01,
,,,,0,,,2013-03-01,
,,,,0,,,2013-04-01,
,,,,0,,,2013-05-01,
,,,,0,,,2013-06-01,
,,,,0,,,2013-07-01,
,,,,0,,,2013-08-01,
,,,,0,,,2013-09-01,
,,,,0,,,2013-10-01,
,,,,0,,,2013-11-01,
,,,,0,,,2013-12-01,
,,,,0,,,2014-01-01,
,,,,0,,,2014-02-01,
,,,,0,,,2014-03-01,
,,,,0,,,2014-04-01,
,,,,0,,,2014-05-01,
,,,,0,,,2014-06-01,
,,,,0,,,2014-07-01,
,,,,0,,,2014-08-01,
,,,,0,,,2014-09-01,
,,,,0,,,2014-10-01,
,,,,0,,,2014-11-01,
,,,,0,,,2014-12-01,
,,,,0,,,2015-01-01,
,,,,0,,,2015-02-01,
,,,,0,,,2015-03-01,
,,,,0,,,2015-04-01,
,,,,0,,,2015-05-01,
,,,,0,,,2015-06-01,
,,,,0,,,2015-07-01,
,,,,0,,,2015-08-01,
,,,,0,,,2015-09-01,
,,,,0,,,2015-10-01,
,,,,0,,,2015-11-01,
,,,,0,,,2015-12-01,
,,,,0,,,2016-01-01,
,,,,0,,,2016-02-01,
,,,,0,,,2016-03-01,
,,,,0,,,2016-04-01,
,,,,0,,,2016-05-01,
,,,,0,,,2016-06-01,
,,,,0,,,2016-07-01,
,,,,0,,,2016-08-01,
,,,,0,,,2016-09-01,
,,,,0,,,2016-10-01,
,,,,0,,,2016-11-01,
,,,,0,,,2016-12-01,
,,,,0,,,2017-01-01,
,,,,0,,,2017-02-01,
,,,,0,,,2017-03-01,
,,,,0,,,2017-04-01,
,,,,0,,,2017-05-01,
,,,,0,,,2017-06-01,
,,,,0,,,2017-07-01,
,,,,0,,,2017-08-01,
,,,,0,,,2017-09-01,
,,,,0,,,2017-10-01,
,,,,0,,,2017-11-01,
,,,,0,,,2017-12-01,
,,,,0,,,2018-01-01,
,,,,0,,,2018-02-01,
,,,,0,,,2018-03-01,
,,,,0,,,2018-04-01,
,,,,0,,,2018-05-01,
,,,,0,,,2018-06-01,
,,,,0,,,2018-07-01,
,,,,0,,,2018-08-01,
,,,,0,,,2018-09-01,
,,,,0,,,2018-10-01,
,,,,0,,,2018-11-01,
,,,,0,,,2018-12-01,
,,,,0,,,2019-01-01,
,,,,0,,,2019-02-01,
,,,,0,,,2019-03-01,
,,,,0,,,2019-04-01,
,,,,0,,,2019-05-01,
,,,,0,,,2019-06-01,
,,,,0,,,2019-07-01,
,,,,0,,,2019-08-01,
,,,,0,,,2019-09-01,
,,,,0,,,2019-10-01,
